id,author_id,parent_id,step,week_number,step_number,timestamp,likes
8744164,98c22774-36b9-446d-a4b6-2da5a519589c,,1.2,1,2,2015-11-09 02:48:27 UTC,1
8744213,e77a3427-6551-4311-aece-21db45758db3,,1.2,1,2,2015-11-09 02:53:10 UTC,26
8744239,98c22774-36b9-446d-a4b6-2da5a519589c,,1.3,1,3,2015-11-09 02:55:39 UTC,1
8744378,3e630c24-4be5-4c6f-a258-907af8ded378,,1.1,1,1,2015-11-09 03:06:19 UTC,2
8744414,c2c432a4-673e-48b7-a6bc-e532e27b0177,,1.1,1,1,2015-11-09 03:10:52 UTC,3
8744525,5510d2e3-db0f-4693-8f5b-1ebcaede5734,,1.2,1,2,2015-11-09 03:20:54 UTC,13
8744589,5510d2e3-db0f-4693-8f5b-1ebcaede5734,,1.3,1,3,2015-11-09 03:26:38 UTC,2
8744592,98c22774-36b9-446d-a4b6-2da5a519589c,,1.4,1,4,2015-11-09 03:26:55 UTC,4
8744636,5510d2e3-db0f-4693-8f5b-1ebcaede5734,8744213,1.2,1,2,2015-11-09 03:30:35 UTC,8
8744654,d7e31d27-b039-403c-9567-d220dc5fc34d,,1.3,1,3,2015-11-09 03:32:03 UTC,2
8744657,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.1,1,1,2015-11-09 03:32:22 UTC,2
8744708,b92b1383-1b67-4936-a2f5-3f6cb0b438cb,,1.14,1,14,2015-11-09 03:37:30 UTC,1
8744747,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.3,1,3,2015-11-09 03:41:40 UTC,3
8744762,a03af9c9-ce83-45b0-857b-ee4d155adb7d,8743335,1.1,1,1,2015-11-09 03:42:43 UTC,5
8744847,98c22774-36b9-446d-a4b6-2da5a519589c,,1.5,1,5,2015-11-09 03:50:57 UTC,2
8745006,dbe96f40-fb54-464b-835f-847903a01b33,,1.1,1,1,2015-11-09 04:04:52 UTC,1
8745071,63d93412-97f0-488c-96f8-4d95696ebf62,,1.1,1,1,2015-11-09 04:12:01 UTC,0
8745167,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.6,1,6,2015-11-09 04:22:20 UTC,3
8745184,63d93412-97f0-488c-96f8-4d95696ebf62,8744213,1.2,1,2,2015-11-09 04:24:43 UTC,1
8745192,98c22774-36b9-446d-a4b6-2da5a519589c,,1.6,1,6,2015-11-09 04:25:16 UTC,0
8745265,63d93412-97f0-488c-96f8-4d95696ebf62,,1.2,1,2,2015-11-09 04:31:57 UTC,3
